"SOC Code","Name","Url","Calculated Risk %","Voted Risk %","Votes","Is Group","Group SOC Codes"
"31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","https://willrobotstakemyjob.com/veterinary-assistants-and-laboratory-animal-caretakers","51.8","28.8","53","false",""
"29-2056.00","Veterinary Technologists and Technicians","https://willrobotstakemyjob.com/veterinary-technologists-and-technicians","31.6","24.0","96","false",""
"15-1255.01","Video Game Designers","https://willrobotstakemyjob.com/video-game-designers","40.7","39.2","850","false",""
"35-3031.00","Waiters and Waitresses","https://willrobotstakemyjob.com/waiters-and-waitresses","70.3","68.3","609","false",""
"49-9064.00","Watch and Clock Repairers","https://willrobotstakemyjob.com/watch-and-clock-repairers","92.8","40.4","96","false",""
"51-8031.00","Water and Wastewater Treatment Plant and System Operators","https://willrobotstakemyjob.com/water-and-wastewater-treatment-plant-and-system-operators","59.2","37.3","77","false",""
"11-9121.02","Water Resource Specialists","https://willrobotstakemyjob.com/water-resource-specialists","6.6","48.2","14","false",""
"17-2051.02","Water/Wastewater Engineers","https://willrobotstakemyjob.com/water-wastewater-engineers","5.8","15.2","23","false",""
"47-4099.03","Weatherization Installers and Technicians","https://willrobotstakemyjob.com/weatherization-installers-and-technicians","35.9","50.0","2","false",""
"15-1299.01","Web Administrators","https://willrobotstakemyjob.com/web-administrators","53.3","62.5","28","false",""
"43-5111.00","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","https://willrobotstakemyjob.com/weighers-measurers-checkers-and-samplers-recordkeeping","87.9","81.9","18","false",""
"51-4121.00","Welders, Cutters, Solderers, and Brazers","https://willrobotstakemyjob.com/welders-cutters-solderers-and-brazers","91.2","51.2","276","false",""
"51-4122.00","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","https://willrobotstakemyjob.com/welding-soldering-and-brazing-machine-setters-operators-and-tenders","86.2","53.4","97","false",""
"53-7073.00","Wellhead Pumpers","https://willrobotstakemyjob.com/wellhead-pumpers","86.5","62.5","10","false",""
"13-1022.00","Wholesale and Retail Buyers, Except Farm Products","https://willrobotstakemyjob.com/wholesale-and-retail-buyers-except-farm-products","56.7","40.8","46","false",""
"11-9199.10","Wind Energy Development Managers","https://willrobotstakemyjob.com/wind-energy-development-managers","22.3","37.5","8","false",""
"17-2199.10","Wind Energy Engineers","https://willrobotstakemyjob.com/wind-energy-engineers","38.3","25.0","4","false",""
"11-9199.09","Wind Energy Operations Managers","https://willrobotstakemyjob.com/wind-energy-operations-managers","17.4","20.8","6","false",""
"49-9081.00","Wind Turbine Service Technicians","https://willrobotstakemyjob.com/wind-turbine-service-technicians","38.9","31.3","28","false",""
"51-7042.00","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","https://willrobotstakemyjob.com/woodworking-machine-setters-operators-and-tenders-except-sawing","97.5","65.4","39","false",""
"43-9022.00","Word Processors and Typists","https://willrobotstakemyjob.com/word-processors-and-typists","100.0","81.9","65","false",""
"27-3043.00","Writers and Authors","https://willrobotstakemyjob.com/writers-and-authors","60.2","51.6","1,448","false",""
"19-1023.00","Zoologists and Wildlife Biologists","https://willrobotstakemyjob.com/zoologists-and-wildlife-biologists","13.8","20.4","461","false",""
